업체명,업체주소,위도,경도
금강인테리어,서울특별시 관악구 낙성대역길 35 1층,,
청목CM건축,서울특별시 종로구 창신길 31 1층,,
삼전디앤씨,서울특별시 강남구 학동로101길 21 5층 501호,,
주민산업건설(주),서울특별시 동대문구 이문로12길 60 101호,,
연 건축사사무소,서울특별시 은평구 진흥로 120 3층,,
다율이앤씨(주),서울특별시 도봉구 덕릉로63길 112 1층,,
대림건축,서울특별시 도봉구 방학로2길 54 1층,,
정성공사,서울특별시 강북구 삼양로20길 45 1층,,
(주)헤미,서울특별시 은평구 진흥로7길 26 1층 103호,,
씨에스인테리어,서울특별시 광진구 긴고랑로47길 11 202호,,
주식회사 비앤오코퍼레이션(방수119),서울특별시 강남구 강남대로160길 23-4 지하1층,,
동방인테리어,서울특별시 광진구 자양로6길 17 1층 코너호,,
홈리본(Home Re-Born),서울특별시 동작구 국사봉길 141 상가1층,,
마루스페이스(주),서울특별시 종로구 명륜7길 21 1층,,
집수리통,서울특별시 금천구 가산디지털1로 168 B동 지하1츨 116호,,
서우테크,서울특별시 도봉구 우이천로48길 9 1층 105호,,
보람건축,서울특별시 도봉구 노해로 226 1층,,
적정기술공방 주식회사,서울특별시 은평구 갈현로19길 9-8 1층,,
정도건축,서울특별시 서대문구 독립문로14길 66 103호,,
(주)장식가,서울특별시 강남구 삼성로126길 6 보고재빌딩 지하1층,,
(주)서진아이앤티,서울특별시 강서구 공항대로 227 마곡센트럴 1차 1002호,,
(주)기연기업,서울특별시 용산구 두텁바위로 53-7 103호,,
하나개발,서울특별시 구로구 고척로55길 40 102호,,
부리디자인(BURI DESIGN),서울특별시 성북구 성북로4길 52 스카이프라자 상가 서관 508호,,
주식회사 청림종합건설,서울특별시 종로구 율곡로 251-1 1층,,
(주)호세산업개발,서울특별시 중랑구 면목로 368 4층,,
생활설비 인테리어,서울특별시 구로구 디지털로27길 73 1층,,
동양기업,서울특별시 강서구 화곡로18길 9 1층 2호,,
영진종합설비공사,서울특별시 중랑구 봉우재로14길 19 1층,,
미가건축인테리어,서울특별시 강북구 솔매로45길 43 1층,,
에스테이트,서울특별시 강남구 언주로89길 9 3층 3호,,
창성종합공사,서울특별시 서초구 명달로20길 45 1층,,
정금기획,서울특별시 중랑구 중랑역로3길 62 1층,,
창성기공,서울특별시 용산구 회나무로 28 1층,,
방수청건설,서울특별시 송파구 송이로32길 22 103호,,
대원난방,서울특별시 종로구 통일로12길 45 1층,,
삼호인테리어,서울특별시 중랑구 겸재로3길 22 1층 103호,,
루미너스313,서울특별시 성동구 왕십리로31가길 24 3층,,
신영건축,서울특별시 강북구 인수봉로 198 1층 좌측호,,
(주)티피디자인,서울특별시 중랑구 동일로156길 27 1층,,
한옥3D,서울특별시 동대문구 한천로43길 8-20 1층,,
강북인테리어,서울특별시 강북구 삼양로123길 55 1층,,
(주)신우존,서울특별시 은평구 은평터널로 64 상가동 201호,,
(주)현대데코디자인,서울특별시 강남구 학동로23길 22 204호,,
버드디자인,서울특별시 서초구 강남대로93길 15 4층1호,,
(주)대성지퍼스트,서울특별시 광진구 긴고랑로1길 12 1층,,
제일종합설비,서울특별시 서대문구 거북골로16길 8 1층,,
대성종합인테리어,서울특별시 동대문구 사가정로25길 17 1층,,
플러스더하기,서울특별시 중랑구 면목로 274 1층,,
주식회사서문건설,서울특별시 동대문구 천호대로83길 3 지하2층,,
유진종합공사,서울특별시 은평구 통일로78길 24 B01호,,
주식회사에이치와이건축,서울특별시 강북구 인수봉로 254 1층,,
디자인올림인테리어,서울특별시 동대문구 답십리로72길 46 2층 15호,,
(주)득제종합건설,서울특별시 관악구 봉천로15길 29 1동 301호,,
사과나무인테리어,서울특별시 마포구 대흥로9길 4 1층,,
알플랜(RPLAN),서울특별시 종로구 자하문로 106-3 지층,,
공간디자인 지구,"서울특별시 구로구 새말로9길 45 지층 34,35호",,
마성종합설비,서울특별시 영등포구 선유로3길 19-1 지층 B101호,,
용테리어,서울특별시 강남구 남부순환로 2936 108-2호,,
주식회사더몽,서울특별시 성동구 마장로39길 31 5층,,
태양샷시,서울특별시 강북구 오현로25다길 1 지하층2호,,
대진설비,서울특별시 성동구 용답중앙길 47 1층,,
한도타일도기,서울특별시 중랑구 봉화산로 61 정신빌딩 1층,,
(주)레오건축,서울특별시 금천구 시흥대로54길 1 지하1층,,
포스코공사,서울특별시 양천구 신월로36길 11 1층,,
신명건설,서울특별시 양천구 신정중앙로 52 407호,,
공감,서울특별시 서대문구 경기대로9안길 46 1층,,
남선종합공사,서울특별시 관악구 관천로11길 14 1층,,
(주)혁신,서울특별시 구로구 부일로1나길 14 (주)혁신,,
153하우징,서울특별시 양천구 중앙로 329 1층,,
(주)이경건설,서울특별시 영등포구 당산로54길 11 상가동 103호,,
한국지엠건설(주),서울특별시 구로구 디지털로32나길 38 7층,,
케이에스인테리어,경기도 하남시 하남대로 636 1층,,
(주)디자인디미방,서울특별시 중랑구 신내로14길 36 202동 201호,,
(주)미래씨앤씨,서울특별시 강북구 오현로20길 52 101호,,
대영인테리어,서울특별시 서대문구 증가로 201-1 대영인테리어,,
신용설비,서울특별시 서대문구 증가로8길 42-14 1층 신용설비,,
키움창호,서울특별시 강서구 화곡로13길 107 상가비동 206호,,
서울건축설비,서울특별시 광진구 아차산로57길 34 101호,,
한성건설,서울특별시 마포구 숭문길 28 지층,,
(주)더힐로,서울특별시 서대문구 가재울로4길 23 1층,,
(주)SMD컨설턴트,서울특별시 송파구 법원로11길 7 B동 1103호,,
대성건축설비,서울특별시 양천구 가로공원로70길 9 1층,,
(주)칠성건업,서울특별시 강남구 남부순환로355길 13 서원빌딩 2층,,
샤시명가,인천광역시 서구 이음5로 39 3009동 1704호,,
수성건축,서울특별시 도봉구 도당로 104 수성건축,,
아주건축공사,경기도 하남시 초이로 83 201호,,
니드디자인,서울특별시 마포구 성미산로7안길 24 102호 니드디자인,,
백년미래건축,서울특별시 강북구 한천로150길 58 백년미래건축,,
